STATE,COUNTY,YEAR,JOB_VALUE,Classification
CA,ORANGE,2017,4200,NON_ADU
CA,ORANGE,2017,45000,NON_ADU
FL,PINELLAS,2017,2200,NON_ADU
FL,PINELLAS,2017,5500,NON_ADU
FL,PINELLAS,2017,1900,NON_ADU
CA,ORANGE,2017,5000,NON_ADU
CA,ORANGE,2017,66000,NON_ADU
CA,ORANGE,2017,15000,NON_ADU
CA,ORANGE,2017,80000,NON_ADU
CA,ORANGE,2017,8260,NON_ADU
FL,PINELLAS,2017,2445,NON_ADU
CA,ORANGE,2017,20000,NON_ADU
CA,ORANGE,2018,8000,NON_ADU
FL,ORANGE,2018,2450,NON_ADU
CA,ORANGE,2018,7500,NON_ADU
CA,ORANGE,2018,25000,NON_ADU
CA,ORANGE,2018,40000,NON_ADU
CA,ORANGE,2018,4800,NON_ADU
CA,ORANGE,2018,115100,ADU
FL,PINELLAS,2018,9000,NON_ADU
CA,ORANGE,2018,2100,NON_ADU
CA,ORANGE,2018,578334,NON_ADU
CA,ORANGE,2018,39990,NON_ADU
FL,PINELLAS,2018,4200,NON_ADU
CA,ORANGE,2018,4062,NON_ADU
FL,PINELLAS,2018,1247,NON_ADU
CA,ORANGE,2018,20000,NON_ADU
FL,PINELLAS,2018,2100,NON_ADU
CA,ORANGE,2018,30000,NON_ADU
FL,PINELLAS,2018,8000,NON_ADU
CA,ORANGE,2018,5200,NON_ADU
CA,ORANGE,2018,44154,NON_ADU
CA,ORANGE,2018,7500,NON_ADU
FL,PINELLAS,2018,2800,NON_ADU
CA,ORANGE,2018,10000,NON_ADU
CA,ORANGE,2018,10000,NON_ADU
CA,ORANGE,2018,4006,NON_ADU
CA,ORANGE,2018,65000,NON_ADU
CA,ORANGE,2018,3000,NON_ADU
CA,ORANGE,2018,9966,NON_ADU
FL,ORANGE,2018,7776,NON_ADU
CA,ORANGE,2018,5465,NON_ADU
CA,ORANGE,2018,93000,NON_ADU
CA,ORANGE,2018,7800,NON_ADU
FL,ORANGE,2018,25000,NON_ADU
FL,PINELLAS,2018,3000,NON_ADU
CA,ORANGE,2018,9000,NON_ADU
CA,ORANGE,2018,58000,NON_ADU
CA,ORANGE,2018,21000,NON_ADU
FL,PINELLAS,2018,2498,NON_ADU
CA,ORANGE,2018,15000,NON_ADU
CA,ORANGE,2018,10000,NON_ADU
CA,ORANGE,2018,9500,NON_ADU
CA,ORANGE,2018,17500,NON_ADU
CA,ORANGE,2018,13800,NON_ADU
FL,MIAMI-DADE,2018,100000,NON_ADU
CA,ORANGE,2018,9543,NON_ADU
CA,ORANGE,2018,9500,NON_ADU
FL,PINELLAS,2018,4982,NON_ADU
CA,ORANGE,2018,7500,NON_ADU
CA,ORANGE,2018,20000,NON_ADU
FL,PINELLAS,2018,1370,NON_ADU
CA,ORANGE,2018,8500,NON_ADU
FL,ORANGE,2018,120000,NON_ADU
FL,PINELLAS,2018,1995,NON_ADU
CA,ORANGE,2018,11284,NON_ADU
CA,ORANGE,2018,16640,NON_ADU
FL,MIAMI-DADE,2018,15000,NON_ADU
CA,ORANGE,2018,7500,NON_ADU
CA,ORANGE,2018,766541,POTENTIAL_ADU_CONVERSION
CA,ORANGE,2018,16000,NON_ADU
CA,ORANGE,2018,12000,NON_ADU
CA,ORANGE,2018,25000,NON_ADU
CA,ORANGE,2018,25000,NON_ADU
CA,ORANGE,2018,5800,NON_ADU
FL,ORANGE,2018,4200,NON_ADU
CA,ORANGE,2018,90000,NON_ADU
FL,MIAMI-DADE,2018,500,NON_ADU
CA,ORANGE,2018,28422,NON_ADU
CA,ORANGE,2018,15000,NON_ADU
CA,ORANGE,2018,1000,NON_ADU
CA,ORANGE,2018,2789,NON_ADU
CA,ORANGE,2018,100000,NON_ADU
CA,ORANGE,2018,6300,NON_ADU
FL,MIAMI-DADE,2018,4259,NON_ADU
FL,PINELLAS,2018,5569,NON_ADU
CA,ORANGE,2018,14000,NON_ADU
FL,PINELLAS,2018,8410,NON_ADU
FL,ORANGE,2018,202368,NON_ADU
FL,PINELLAS,2018,6300,NON_ADU
CA,ORANGE,2018,4000,NON_ADU
CA,ORANGE,2018,4250,NON_ADU
FL,PINELLAS,2018,1500,NON_ADU
CA,ORANGE,2018,11000,NON_ADU
FL,MIAMI-DADE,2018,3435,NON_ADU
CA,ORANGE,2018,20000,NON_ADU
CA,ORANGE,2018,3246,NON_ADU
CA,ORANGE,2018,4000,NON_ADU
CA,ORANGE,2018,90021,NON_ADU
CA,ORANGE,2018,125000,NON_ADU
CA,ORANGE,2018,3000,NON_ADU
FL,PINELLAS,2018,4997,NON_ADU
FL,MIAMI-DADE,2018,2530,NON_ADU
FL,PINELLAS,2018,5600,NON_ADU
CA,ORANGE,2018,150000,NON_ADU
CA,ORANGE,2018,4000,NON_ADU
CA,ORANGE,2018,6127,NON_ADU
CA,ORANGE,2018,45000,NON_ADU
CA,ORANGE,2018,5000,NON_ADU
CA,ORANGE,2018,211222,NON_ADU
CA,ORANGE,2018,20000,NON_ADU
CA,ORANGE,2018,50000,NON_ADU
CA,ORANGE,2018,20000,NON_ADU
CA,ORANGE,2018,30000,NON_ADU
CA,ORANGE,2018,4000,NON_ADU
CA,ORANGE,2018,7494,NON_ADU
CA,ORANGE,2018,40000,NON_ADU
FL,MIAMI-DADE,2018,59873,NON_ADU
CA,ORANGE,2018,7500,NON_ADU
CA,ORANGE,2018,3000,NON_ADU
FL,PINELLAS,2018,3655,NON_ADU
CA,ORANGE,2018,12000,NON_ADU
CA,ORANGE,2018,14000,NON_ADU
CA,ORANGE,2018,10000,NON_ADU
CA,ORANGE,2018,10000,NON_ADU
FL,PINELLAS,2018,7100,NON_ADU
CA,ORANGE,2018,10000,NON_ADU
CA,ORANGE,2018,21000,NON_ADU
FL,ORANGE,2018,237354,NON_ADU
FL,MIAMI-DADE,2018,4719,NON_ADU
FL,PINELLAS,2018,2100,NON_ADU
CA,ORANGE,2018,9000,NON_ADU
CA,ORANGE,2018,29899,ADU
FL,PINELLAS,2018,2095,NON_ADU
CA,ORANGE,2018,12000,NON_ADU
CA,ORANGE,2018,15000,NON_ADU
FL,PINELLAS,2018,4000,ADU
FL,PINELLAS,2018,13476,NON_ADU
FL,PINELLAS,2018,3497,NON_ADU
CA,ORANGE,2018,20000,NON_ADU
CA,ORANGE,2018,13000,NON_ADU
CA,ORANGE,2018,50000,NON_ADU
CA,ORANGE,2018,20000,NON_ADU
CA,ORANGE,2018,15000,NON_ADU
CA,ORANGE,2018,14000,NON_ADU
CA,ORANGE,2018,15000,NON_ADU
FL,PINELLAS,2018,2295,NON_ADU
CA,ORANGE,2018,5150,NON_ADU
CA,ORANGE,2018,42062,NON_ADU
CA,ORANGE,2018,30000,NON_ADU
FL,MIAMI-DADE,2018,13530,NON_ADU
CA,ORANGE,2018,75000,ADU
CA,ORANGE,2018,80000,ADU
CA,ORANGE,2018,30000,NON_ADU
CA,ORANGE,2018,8500,NON_ADU
CA,ORANGE,2018,2800,NON_ADU
FL,MIAMI-DADE,2018,4947,NON_ADU
CA,ORANGE,2018,15000,NON_ADU
CA,ORANGE,2018,12210,NON_ADU
CA,ORANGE,2018,19850,NON_ADU
CA,ORANGE,2018,120000,NON_ADU
FL,PINELLAS,2018,5013,NON_ADU
CA,ORANGE,2018,25000,NON_ADU
FL,MIAMI-DADE,2018,3000,NON_ADU
FL,PINELLAS,2018,10250,NON_ADU
CA,ORANGE,2018,8000,NON_ADU
CA,ORANGE,2018,4800,NON_ADU
CA,ORANGE,2018,8000,NON_ADU
FL,PINELLAS,2018,4147,NON_ADU
CA,ORANGE,2018,10961,NON_ADU
FL,PINELLAS,2018,2514,NON_ADU
CA,ORANGE,2018,154180,ADU
CA,ORANGE,2018,18000,NON_ADU
CA,ORANGE,2018,9500,NON_ADU
